season,week,contestant,judge_score,vote_share_mean,vote_share_std,ci_lower,ci_upper,is_eliminated
1,1,John O'Hurley,20.0,0.1454016157884908,0.10778760790263521,0.012167265718636695,0.41938210407609033,False
1,1,Kelly Monaco,13.0,0.2420495093867721,0.11194444081462664,0.08168265218186074,0.5007388292203506,False
1,1,Evander Holyfield,18.0,0.1977510011675182,0.11785597303319521,0.03864737106043298,0.49601393986633596,False
1,1,Rachel Hunter,20.0,0.15628641415223232,0.1180712219095881,0.011534566115285264,0.453731139241961,False
1,1,Joey McIntyre,20.0,0.19998514351923127,0.13011734176850584,0.023032397060131313,0.5120296602806412,False
1,1,Trista Sutter,18.0,0.058526315985758366,0.038697811529190634,0.005214977481917022,0.14264300144207936,True
1,2,John O'Hurley,26.0,0.15562979910510932,0.10713568192954112,0.019856418590058402,0.4253205665036199,False
1,2,Kelly Monaco,17.0,0.2113777395736115,0.10993565877730602,0.05060083320252129,0.4758841036944559,False
1,2,Evander Holyfield,14.0,0.23737840734691296,0.10600289762803543,0.08308713624782647,0.489605721029864,False
1,2,Rachel Hunter,24.0,0.1503988632354198,0.10653337735664802,0.013932963739860036,0.4105744758456258,False
1,2,Joey McIntyre,21.0,0.19298038960890876,0.12408130270645966,0.037512020892295724,0.5073897189635359,False
1,2,Trista Sutter,19.0,0.052234801130032794,0.03406714255362478,0.0048161107141577834,0.1322107812920888,True
1,3,John O'Hurley,24.0,0.2081844946086066,0.1422233665406961,0.01604472229934895,0.5319108009058554,False
1,3,Kelly Monaco,21.0,0.2558325633411133,0.1352525872143544,0.04589654928313457,0.5535109705249761,False
1,3,Evander Holyfield,13.0,0.09821992078770121,0.06714632968036992,0.006605148077354679,0.2521522079889679,True
1,3,Rachel Hunter,26.0,0.18875736973424134,0.13564081820783086,0.014603439342398643,0.5202099856473615,False
1,3,Joey McIntyre,22.0,0.24900565152833773,0.1452478728682057,0.03242868835558606,0.5834717262248234,False
1,4,John O'Hurley,21.0,0.25658850851404286,0.12341752950063892,0.061240622283738166,0.559564508648393,False
1,4,Kelly Monaco,26.0,0.24251518960516436,0.14680981631632928,0.04821062790420933,0.6172642994244502,False
1,4,Rachel Hunter,25.0,0.08819375326290539,0.05560820850077813,0.007240079305206659,0.21197712969205815,True
1,4,Joey McIntyre,20.0,0.4127025486178881,0.137445267140545,0.17457602686436263,0.7163408891896225,False
2,1,Tatum O'Neal,23.0,0.10704624673882714,0.07551239756125469,0.010486054712058573,0.28801711446572104,False
2,1,Tia Carrere,20.0,0.1069332415132468,0.07526975700891038,0.009306673199426308,0.29127520208604996,False
2,1,George Hamilton,18.0,0.10335900367617237,0.0693320965038065,0.012166874634365554,0.2795709325328189,False
2,1,Lisa Rinna,19.0,0.11488377797399262,0.07552518795142044,0.01237188886447663,0.29456362832966987,False
2,1,Stacy Keibler,22.0,0.11154886605288639,0.07669325841172402,0.009419635977562194,0.2928825708844088,False
2,1,Jerry Rice,21.0,0.10259351313853918,0.07607242259440426,0.007862259008866244,0.29633042217474503,False
2,1,Giselle Fernandez,23.0,0.07947357664083597,0.06686714950466652,0.0034880262648058456,0.2513185135431911,False
2,1,Master P,12.0,0.12215690748298771,0.07270906537819027,0.025014082696701752,0.30458163004770933,False
2,1,Drew Lachey,24.0,0.12535879599992214,0.08219199074181167,0.014263097847222364,0.32867950932544304,False
2,1,Kenny Mayne,13.0,0.026646070782586573,0.02108973944199861,0.0010267468330661096,0.07814147872169677,True
2,2,Tatum O'Neal,17.0,0.03792470645864021,0.024658309213138187,0.0029299870087510682,0.093207455717804,True
2,2,Tia Carrere,22.0,0.12322340734559294,0.08396994974417551,0.014957324268272154,0.3278388791411814,False
2,2,George Hamilton,22.0,0.09710599421545091,0.07553051487200027,0.006029361782780354,0.28917946863597743,False
2,2,Lisa Rinna,20.0,0.1366500333989008,0.09139442793427971,0.021544615686190843,0.3775525395068157,False
2,2,Stacy Keibler,29.0,0.123145956477557,0.08063960824714494,0.012279288455346852,0.3150528685198455,False
2,2,Jerry Rice,23.0,0.10906052036302111,0.08051044860478872,0.006494786491536315,0.31165007430926256,False
2,2,Giselle Fernandez,24.0,0.09768333200688468,0.07689941967140008,0.00598549346903611,0.2949399565666216,False
2,2,Master P,16.0,0.14616286423652153,0.08124788408292143,0.0344495896685249,0.34066067002801886,False
2,2,Drew Lachey,27.0,0.12904318549743388,0.08383448756173718,0.014488703460876098,0.32466312522627006,False
2,3,Tia Carrere,26.0,0.11925962526795858,0.08684693158385143,0.010773195868838523,0.3398908433266514,False
2,3,George Hamilton,22.0,0.121667791020259,0.08083674232814336,0.02141259827563959,0.3299359864986472,False
2,3,Lisa Rinna,25.0,0.11882399133498614,0.08609784767617429,0.012506608871207268,0.3352251192682614,False
